fecha,temperature_2m,surface_pressure,relative_humidity_2m
2010-01-01,25.3,1009.0,78
2010-01-02,24.4,1006.8,83
2010-01-03,26.2,1006.0,65
2010-01-04,24.4,1008.3,80
2010-01-05,24.1,1009.0,76
2010-01-06,22.5,1010.2,78
2010-01-07,22.7,1012.0,76
2010-01-08,23.6,1011.1,74
2010-01-09,24.4,1008.5,69
2010-01-10,28.3,1008.0,56
2010-01-11,22.6,1012.4,81
2010-01-12,22.4,1012.1,84
2010-01-13,22.2,1012.5,80
2010-01-14,23.2,1012.5,75
2010-01-15,23.1,1013.3,76
2010-01-16,24.0,1011.7,83
2010-01-17,27.9,1010.6,64
2010-01-18,24.7,1010.8,88
2010-01-19,25.0,1010.3,80
2010-01-20,24.9,1009.2,77
2010-01-21,25.0,1009.3,76
2010-01-22,24.5,1007.5,79
2010-01-23,25.3,1007.1,76
2010-01-24,29.4,1007.0,47
2010-01-25,25.0,1010.5,72
2010-01-26,24.6,1010.4,79
2010-01-27,24.5,1011.5,70
2010-01-28,23.7,1010.9,71
2010-01-29,24.2,1009.1,66
2010-01-30,24.0,1008.6,74
2010-01-31,28.9,1007.5,47
2010-02-01,25.0,1009.6,67
2010-02-02,24.6,1008.4,77
2010-02-03,24.5,1008.0,79
2010-02-04,24.7,1008.2,78
2010-02-05,24.4,1007.8,78
2010-02-06,24.4,1005.3,73
2010-02-07,29.1,1004.2,51
2010-02-08,25.1,1008.8,75
2010-02-09,24.6,1007.6,81
2010-02-10,25.2,1005.7,75
2010-02-11,25.7,1005.8,72
2010-02-12,24.7,1005.9,80
2010-02-13,24.9,1005.4,72
2010-02-14,29.7,1005.4,50
2010-02-15,24.9,1007.8,78
2010-02-16,25.0,1006.9,77
2010-02-17,24.8,1006.9,74
2010-02-18,22.8,1009.7,76
2010-02-19,24.1,1010.7,70
2010-02-20,25.3,1009.9,69
2010-02-21,28.2,1007.6,57
2010-02-22,24.7,1005.5,77
2010-02-23,25.2,1002.9,79
2010-02-24,25.9,1005.5,78
2010-02-25,26.2,1004.9,81
2010-02-26,24.2,1007.6,71
2010-02-27,25.5,1007.1,85
2010-02-28,30.2,1006.6,57
2010-03-01,25.7,1008.4,72
2010-03-02,25.3,1006.8,81
2010-03-03,25.5,1005.7,80
2010-03-04,23.0,1007.5,92
2010-03-05,21.5,1007.6,88
2010-03-06,21.0,1007.3,77
2010-03-07,23.4,1008.5,60
2010-03-08,21.4,1008.4,55
2010-03-09,23.7,1008.6,60
2010-03-10,25.1,1008.1,67
2010-03-11,25.7,1006.3,76
2010-03-12,25.1,1006.2,85
2010-03-13,25.5,1005.4,85
2010-03-14,29.5,1005.6,63
2010-03-15,25.8,1006.8,80
2010-03-16,25.8,1006.2,76
2010-03-17,26.5,1006.6,75
2010-03-18,25.9,1007.2,81
2010-03-19,25.6,1009.0,85
2010-03-20,26.1,1010.0,80
2010-03-21,30.2,1010.2,54
2010-03-22,25.5,1010.2,80
2010-03-23,26.2,1009.4,81
2010-03-24,26.2,1008.8,77
2010-03-25,26.1,1009.1,77
2010-03-26,25.7,1008.0,76
2010-03-27,25.7,1008.4,74
2010-03-28,30.7,1006.4,50
2010-03-29,25.9,1006.8,78
2010-03-30,25.9,1008.2,73
2010-03-31,26.4,1008.7,79
2010-04-01,25.3,1007.6,74
2010-04-02,24.5,1007.3,56
2010-04-03,24.0,1007.0,55
2010-04-04,30.2,1006.8,32
2010-04-05,24.5,1010.1,59
2010-04-06,24.4,1009.9,64
2010-04-07,25.1,1009.0,64
2010-04-08,25.6,1008.8,63
2010-04-09,25.4,1010.1,71
2010-04-10,25.2,1011.0,72
2010-04-11,27.5,1007.6,61
2010-04-12,22.8,1006.5,88
2010-04-13,23.9,1005.9,87
2010-04-14,25.1,1007.4,76
2010-04-15,23.5,1008.7,80
2010-04-16,24.6,1008.1,63
2010-04-17,25.3,1007.7,70
2010-04-18,28.3,1007.1,64
2010-04-19,26.1,1006.2,85
2010-04-20,26.6,1005.4,82
2010-04-21,26.4,1006.1,83
2010-04-22,26.8,1007.3,79
2010-04-23,26.8,1008.5,75
2010-04-24,26.7,1008.4,63
2010-04-25,30.2,1006.2,55
2010-04-26,26.5,1006.2,81
2010-04-27,26.9,1007.8,79
2010-04-28,27.2,1009.4,81
2010-04-29,27.2,1009.4,79
2010-04-30,27.5,1009.5,76
2010-05-01,27.7,1009.7,71
2010-05-02,28.9,1010.5,64
2010-05-03,26.4,1010.0,74
2010-05-04,26.8,1009.2,76
2010-05-05,26.7,1008.7,75
2010-05-06,27.0,1008.3,64
2010-05-07,27.2,1008.9,67
2010-05-08,25.8,1008.9,80
2010-05-09,28.0,1008.6,72
2010-05-10,24.8,1009.8,81
2010-05-11,25.0,1009.9,77
2010-05-12,26.1,1009.8,66
2010-05-13,24.6,1011.1,84
2010-05-14,25.7,1011.6,77
2010-05-15,26.5,1011.1,70
2010-05-16,31.0,1008.6,56
2010-05-17,27.3,1008.5,76
2010-05-18,25.9,1008.0,85
2010-05-19,26.6,1007.2,80
2010-05-20,26.7,1008.9,78
2010-05-21,26.6,1007.0,81
2010-05-22,26.9,1004.2,82
2010-05-23,27.2,1003.9,80
2010-05-24,25.9,1004.9,87
2010-05-25,24.9,1006.5,97
2010-05-26,25.0,1006.5,88
2010-05-27,24.7,1005.8,91
2010-05-28,26.0,1004.1,89
2010-05-29,24.3,1005.0,96
2010-05-30,29.9,1007.0,71
2010-05-31,25.5,1010.0,91
2010-06-01,25.1,1009.5,93
2010-06-02,25.9,1008.7,91
2010-06-03,26.7,1009.8,86
2010-06-04,26.7,1010.9,84
2010-06-05,26.9,1010.1,81
2010-06-06,29.8,1007.9,65
2010-06-07,27.1,1008.6,83
2010-06-08,26.6,1010.6,85
2010-06-09,26.6,1010.8,82
2010-06-10,26.8,1010.5,84
2010-06-11,27.4,1010.9,76
2010-06-12,27.5,1009.8,73
2010-06-13,30.3,1008.9,65
2010-06-14,27.4,1009.0,77
2010-06-15,26.3,1010.7,84
2010-06-16,26.4,1010.2,80
2010-06-17,26.7,1010.0,78
2010-06-18,27.6,1008.9,73
2010-06-19,25.4,1008.0,84
2010-06-20,25.6,1008.0,86
2010-06-21,23.7,1009.9,94
2010-06-22,23.6,1010.3,95
2010-06-23,23.8,1009.0,95
2010-06-24,24.3,1010.6,94
2010-06-25,25.5,1009.9,87
2010-06-26,24.9,1008.1,89
2010-06-27,29.2,1006.6,71
2010-06-28,26.6,1008.6,86
2010-06-29,27.1,1009.7,82
2010-06-30,26.1,1010.5,84
2010-07-01,26.1,1010.1,87
2010-07-02,27.0,1009.4,83
2010-07-03,27.2,1009.5,86
2010-07-04,31.3,1008.7,61
2010-07-05,27.2,1007.5,70
2010-07-06,25.9,1008.3,86
2010-07-07,25.4,1008.7,90
2010-07-08,27.2,1009.8,89
2010-07-09,26.0,1009.7,83
2010-07-10,27.0,1010.1,76
2010-07-11,31.0,1009.2,63
2010-07-12,27.7,1008.6,78
2010-07-13,26.9,1008.8,77
2010-07-14,25.1,1009.0,89
2010-07-15,26.8,1008.8,79
2010-07-16,24.1,1009.1,92
2010-07-17,24.1,1010.9,91
2010-07-18,28.4,1010.1,74
2010-07-19,24.1,1008.7,91
2010-07-20,24.4,1008.5,92
2010-07-21,24.2,1008.2,94
2010-07-22,24.9,1009.4,91
2010-07-23,23.4,1012.3,91
2010-07-24,25.6,1011.5,83
2010-07-25,31.2,1010.4,60
2010-07-26,26.9,1009.5,77
2010-07-27,25.6,1010.8,82
2010-07-28,26.0,1011.5,83
2010-07-29,25.9,1009.9,84
2010-07-30,26.9,1007.2,85
2010-07-31,25.7,1006.6,88
2010-08-01,31.1,1006.1,59
2010-08-02,26.6,1008.2,78
2010-08-03,27.2,1007.7,76
2010-08-04,26.8,1006.7,81
2010-08-05,27.0,1007.3,82
2010-08-06,27.4,1008.2,84
2010-08-07,27.6,1007.9,84
2010-08-08,30.9,1007.1,58
2010-08-09,25.7,1008.1,86
2010-08-10,26.2,1007.6,86
2010-08-11,24.8,1007.3,93
2010-08-12,26.2,1007.4,87
2010-08-13,26.7,1008.3,85
2010-08-14,26.2,1009.5,89
2010-08-15,30.2,1008.8,70
2010-08-16,27.0,1009.1,83
2010-08-17,24.5,1009.9,91
2010-08-18,27.2,1009.7,87
2010-08-19,27.1,1007.7,77
2010-08-20,26.4,1006.1,82
2010-08-21,25.9,1008.1,83
2010-08-22,30.5,1008.9,63
2010-08-23,27.5,1008.5,82
2010-08-24,27.2,1008.1,87
2010-08-25,26.5,1007.5,81
2010-08-26,26.4,1007.0,81
2010-08-27,26.2,1006.3,85
2010-08-28,27.0,1007.0,83
2010-08-29,31.3,1006.2,63
2010-08-30,27.5,1003.9,75
2010-08-31,26.1,1001.3,89
2010-09-01,26.8,1004.8,84
2010-09-02,27.5,1010.5,84
2010-09-03,26.5,1010.4,86
2010-09-04,27.3,1007.9,75
2010-09-05,29.7,1007.0,64
2010-09-06,26.0,1009.3,84
2010-09-07,25.5,1008.3,87
